NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
GPRC5B	1	GPRC5B	
ALDOB	1	ALDOB	
LINC00665	1	LINC00665	
COL16A1	1	COL16A1	
DHX30	1	DHX30	
TMEM238L	1	TMEM238L	
HMGCS2	1	HMGCS2	
RRP9	1	RRP9	
SGK1	1	SGK1	
PTGER4	1	PTGER4	
GASK1B	1	GASK1B	
CDH12	1	CDH12	
NCAM1	1	NCAM1	
ZNF844	1	ZNF844	
DLL1	1	DLL1	
SIK1B	1	SIK1B	
LRATD1	1	LRATD1	
SLC19A3	1	SLC19A3	
MPP1	1	MPP1	
GATA4	1	GATA4	
MUC12	1	MUC12	
CHCHD4	1	CHCHD4	
BCKDHB	1	BCKDHB	
RPL7L1	1	RPL7L1	
ALCAM	1	ALCAM	
CEP57L1	1	CEP57L1	
LINC01224	1	LINC01224	
GCNT1	1	GCNT1	
PRLR	1	PRLR	
BAG1	1	BAG1	
GSTA4	1	GSTA4	
IFRD2	1	IFRD2	
ZNF850	1	ZNF850	
ZFPM1	1	ZFPM1	
CCND2	1	CCND2	
KLF7	1	KLF7	
ARIH2	1	ARIH2	
EMC3-AS1	1	EMC3-AS1	
SNHG15	1	SNHG15	
ZNF69	1	ZNF69	
SPOUT1	1	SPOUT1	
MRPS25	1	MRPS25	
L3MBTL4	1	L3MBTL4	
NSMF	1	NSMF	
MIGA2	1	MIGA2	
APTX	1	APTX	
DUS3L	1	DUS3L	
C9orf40	1	C9orf40	
MME	1	MME	
MOCS1	1	MOCS1	
LTV1	1	LTV1	
RABEPK	1	RABEPK	
FPGS	1	FPGS	
PTGES2	1	PTGES2	
CNTN3	1	CNTN3	
SLC12A7	1	SLC12A7	
GLE1	1	GLE1	
TRAF3IP2-AS1	1	TRAF3IP2-AS1	
ZNF738	1	ZNF738	
PSMD5	1	PSMD5	
PMPCA	1	PMPCA	
GSC	1	GSC	
DPM2	1	DPM2	
NOL7	1	NOL7	
KCNE4	1	KCNE4	
SAMD5	1	SAMD5	
SLC2A8	1	SLC2A8	
MRPS2	1	MRPS2	
PLA2G2A	1	PLA2G2A	
TTC13	1	TTC13	
QRSL1	1	QRSL1	
RHOXF1-AS1	1	RHOXF1-AS1	
TRPM6	1	TRPM6	
EHMT1	1	EHMT1	
CACNA1C	1	CACNA1C	
E2F3	1	E2F3	
ZMYND19	1	ZMYND19	
CEP43	1	CEP43	
DAXX	1	DAXX	
LSM3	1	LSM3	
ZNF93	1	ZNF93	
SCAP	1	SCAP	
RWDD1	1	RWDD1	
BAP1	1	BAP1	
MED27	1	MED27	
ZNF711	1	ZNF711	
PLCL2	1	PLCL2	
MSANTD3	1	MSANTD3	
PRUNE2	1	PRUNE2	
FMOD	1	FMOD	
TRNT1	1	TRNT1	
WDR5	1	WDR5	
AKAP7	1	AKAP7	
RPS26P19	1	RPS26P19	
ZIK1	1	ZIK1	
CCDC12	1	CCDC12	
AMACR	1	AMACR	
OXNAD1	1	OXNAD1	
PDE12	1	PDE12	
SHQ1	1	SHQ1	
MB21D2	1	MB21D2	
UPF3A	1	UPF3A	
CTSL	1	CTSL	
SLC16A7	1	SLC16A7	
DPYSL3	1	DPYSL3	
FABP1	1	FABP1	
PGAP1	1	PGAP1	
SESN1	1	SESN1	
POMZP3	1	POMZP3	
CPS1	1	CPS1	
NGLY1	1	NGLY1	
C5orf34	1	C5orf34	
ASPA	1	ASPA	
DPH7	1	DPH7	
ACVR1C	1	ACVR1C	
URM1	1	URM1	
LRP12	1	LRP12	
FXN	1	FXN	
MT2A	1	MT2A	
SNAPC4	1	SNAPC4	
AGTPBP1	1	AGTPBP1	
NTMT1	1	NTMT1	
UGT2A3	1	UGT2A3	
MRPL18	1	MRPL18	
FAM225A	1	FAM225A	
CTSV	1	CTSV	
BAAT	1	BAAT	
EXOSC2	1	EXOSC2	
TATDN2	1	TATDN2	
PNLIPRP2	1	PNLIPRP2	
CCNC	1	CCNC	
CYB5R4	1	CYB5R4	
PAXX	1	PAXX	
NADK2	1	NADK2	
PSMD6	1	PSMD6	
SEMA5A	1	SEMA5A	
PRRC2A	1	PRRC2A	
ENSG00000223478	1	LOC100506100	
ARMCX1	1	ARMCX1	
CCDC137	1	CCDC137	
IMPA2	1	IMPA2	
FASTKD1	1	FASTKD1	
UBAC1	1	UBAC1	
GRHPR	1	GRHPR	
EAF1	1	EAF1	
MEX3D	1	MEX3D	
NR4A2	1	NR4A2	
GNL3	1	GNL3	
TFCP2L1	1	TFCP2L1	
MCUR1	1	MCUR1	
PRKACB	1	PRKACB	
OSBPL6	1	OSBPL6	
SLC26A3	1	SLC26A3	
POLE3	1	POLE3	
RAB14	1	RAB14	
NOL6	1	NOL6	
RPF2	1	RPF2	
PPP4R2	1	PPP4R2	
KLHL13	1	KLHL13	
PTGR1	1	PTGR1	
SP8	1	SP8	
PUS1	1	PUS1	
LCE1E	1	LCE1E	
S1PR3	2	C9orf47:S1PR3	
SET	1	SET	
TMEM126B	1	TMEM126B	
KCNJ15	1	KCNJ15	
DIMT1	1	DIMT1	
C9orf78	1	C9orf78	
TLR2	1	TLR2	
ABCF1	1	ABCF1	
HDAC2	1	HDAC2	
MTTP	1	MTTP	
ZNF724	1	ZNF724	
DOLPP1	1	DOLPP1	
